id_student,code_module,code_presentation,registration_offset_days,dropout,early_assessment_count,early_assessment_score_mean,early_assessment_score_std,early_assessment_scheduled_count,early_assessment_submission_rate
11391,AAA,2013J,-159.0,0,2,81.5,4.949747468305833,2,1.0
28400,AAA,2013J,-53.0,0,2,69.0,1.4142135623730951,2,1.0
30268,AAA,2013J,-92.0,1,0,,0.0,0,0.0
31604,AAA,2013J,-52.0,0,2,71.5,0.7071067811865476,2,1.0
32885,AAA,2013J,-176.0,0,2,49.5,27.577164466275352,2,1.0
38053,AAA,2013J,-110.0,0,2,74.0,7.0710678118654755,2,1.0
45462,AAA,2013J,-67.0,0,2,67.5,3.5355339059327378,2,1.0
45642,AAA,2013J,-29.0,0,2,72.0,0.0,2,1.0
52130,AAA,2013J,-33.0,0,2,70.0,2.8284271247461903,2,1.0
53025,AAA,2013J,-179.0,0,2,75.5,6.363961030678928,2,1.0
57506,AAA,2013J,-103.0,0,2,72.0,5.656854249492381,2,1.0
58873,AAA,2013J,-47.0,0,2,73.5,0.7071067811865476,2,1.0
59185,AAA,2013J,-59.0,0,2,69.0,2.8284271247461903,2,1.0
62155,AAA,2013J,-68.0,0,2,79.0,8.48528137423857,2,1.0
63400,AAA,2013J,-67.0,0,2,62.5,28.991378028648448,2,1.0
65002,AAA,2013J,-180.0,1,2,67.0,1.4142135623730951,2,1.0
70464,AAA,2013J,-95.0,0,2,59.5,0.7071067811865476,2,1.0
71361,AAA,2013J,-130.0,0,2,84.0,2.8284271247461903,2,1.0
74372,AAA,2013J,-50.0,0,2,39.0,29.698484809834994,2,1.0
75091,AAA,2013J,-107.0,0,2,66.5,0.7071067811865476,2,1.0
77367,AAA,2013J,-27.0,0,2,74.5,2.1213203435596424,2,1.0
91265,AAA,2013J,-31.0,0,2,74.5,0.7071067811865476,2,1.0
94961,AAA,2013J,-170.0,1,1,74.0,0.0,2,0.5
98094,AAA,2013J,-107.0,0,2,60.5,2.1213203435596424,2,1.0
100893,AAA,2013J,-62.0,0,2,65.5,3.5355339059327378,2,1.0
101781,AAA,2013J,-103.0,0,2,74.0,14.142135623730951,2,1.0
102806,AAA,2013J,-107.0,0,2,83.0,4.242640687119285,2,1.0
102952,AAA,2013J,-100.0,0,2,73.0,4.242640687119285,2,1.0
104476,AAA,2013J,-109.0,0,2,81.5,4.949747468305833,2,1.0
106247,AAA,2013J,5.0,1,2,66.5,0.7071067811865476,2,1.0
106577,AAA,2013J,-107.0,0,2,54.0,4.242640687119285,2,1.0
110175,AAA,2013J,-110.0,0,2,63.5,3.5355339059327378,2,1.0
111717,AAA,2013J,-43.0,0,1,80.0,0.0,2,0.5
113295,AAA,2013J,-26.0,0,2,79.0,2.8284271247461903,2,1.0
114017,AAA,2013J,-29.0,0,2,71.0,7.0710678118654755,2,1.0
